Gene,Non-unique Gene name,Annotation,8CESK0LV,IUSRULWE,MEALYT7M,MTU6F5AX,YMM2RB8W
group_3363,,hypothetical protein,,DBBBBKPJ_05299,,PDFLHPBO_00253,FNCGEDBI_02019
group_3356,,hypothetical protein,,DBBBBKPJ_05306,,PDFLHPBO_00245,FNCGEDBI_02027
group_3355,,hypothetical protein,,DBBBBKPJ_05278,,PDFLHPBO_00274,FNCGEDBI_01998
group_3350,,hypothetical protein,,DBBBBKPJ_05297,,PDFLHPBO_00255,FNCGEDBI_02017
group_3347,,hypothetical protein,,DBBBBKPJ_05295,,PDFLHPBO_00257,FNCGEDBI_02015
group_3346,,hypothetical protein,,DBBBBKPJ_05293,,PDFLHPBO_00259,FNCGEDBI_02013
group_3345,,hypothetical protein,,DBBBBKPJ_05275,,PDFLHPBO_00277,FNCGEDBI_01995
group_3303,,hypothetical protein,,DBBBBKPJ_05310,,PDFLHPBO_00241,FNCGEDBI_02031
group_3302,,hypothetical protein,,DBBBBKPJ_05308,,PDFLHPBO_00243,FNCGEDBI_02029
group_3271,,hypothetical protein,,DBBBBKPJ_05282,,PDFLHPBO_00270,FNCGEDBI_02002
group_3270,,hypothetical protein,,DBBBBKPJ_05280,,PDFLHPBO_00272,FNCGEDBI_02000
group_3258,,hypothetical protein,,DBBBBKPJ_00311,INHMNHHN_03367,,FNCGEDBI_02493
group_3256,,hypothetical protein,,DBBBBKPJ_05298,,PDFLHPBO_00254,FNCGEDBI_02018
group_3228,,hypothetical protein,,DBBBBKPJ_05285,,PDFLHPBO_00267,FNCGEDBI_02005
group_3223,,hypothetical protein,,DBBBBKPJ_05288,,PDFLHPBO_00264,FNCGEDBI_02008
group_3209,,hypothetical protein,,DBBBBKPJ_05304,,PDFLHPBO_00247,FNCGEDBI_02025
group_3198,,hypothetical protein,GCDEOBMB_01362,,,PDFLHPBO_01402,FNCGEDBI_00039
group_3187,,hypothetical protein,,DBBBBKPJ_05302,,PDFLHPBO_00250,FNCGEDBI_02022
group_3183,,hypothetical protein,,DBBBBKPJ_05300,,PDFLHPBO_00252,FNCGEDBI_02020
group_3122,,hypothetical protein,GCDEOBMB_00219,,INHMNHHN_06116,PDFLHPBO_04419,
group_3120,,hypothetical protein,,DBBBBKPJ_02131,INHMNHHN_05022,,FNCGEDBI_03802
merT_2,merT_2,Mercuric transport protein MerT,GCDEOBMB_04304,DBBBBKPJ_05371,INHMNHHN_03187,,
group_3099,,hypothetical protein,,DBBBBKPJ_02138,INHMNHHN_05029,,FNCGEDBI_03810
group_3098,,hypothetical protein,GCDEOBMB_00223,,INHMNHHN_06120,PDFLHPBO_04423,
group_3097,,hypothetical protein,,,INHMNHHN_03802,PDFLHPBO_00912,FNCGEDBI_02144
group_3061,,hypothetical protein,GCDEOBMB_00129,,INHMNHHN_05091,PDFLHPBO_06272,
group_3057,,hypothetical protein,GCDEOBMB_04283,DBBBBKPJ_05376,,PDFLHPBO_00658,
group_3019,,hypothetical protein,GCDEOBMB_06343,DBBBBKPJ_03228,,PDFLHPBO_02456,
cueR_1,cueR_1,protein CueR,GCDEOBMB_04305,DBBBBKPJ_05372,INHMNHHN_03186,,
group_2984,,hypothetical protein,GCDEOBMB_00169,,INHMNHHN_05131,PDFLHPBO_06014,
group_2969,,hypothetical protein,GCDEOBMB_04300,DBBBBKPJ_05367,INHMNHHN_03191,,
hrp1_1,hrp1_1,Hypoxic response protein 1,,DBBBBKPJ_00057,INHMNHHN_03136,,FNCGEDBI_01476
group_2942,,arsenate reductase,GCDEOBMB_00212,,INHMNHHN_06109,PDFLHPBO_06099,
group_2941,,transcriptional regulator,GCDEOBMB_00170,,INHMNHHN_05132,PDFLHPBO_06015,
group_2936,,hypothetical protein,GCDEOBMB_02465,DBBBBKPJ_01694,,PDFLHPBO_04466,
soxR_1,soxR_1,redox-sensitive transcriptional activator SoxR,GCDEOBMB_00171,,2_refound_28,PDFLHPBO_06016,
group_2912,,hypothetical protein,,DBBBBKPJ_02122,INHMNHHN_05013,,FNCGEDBI_03793
zntR,zntR,HTH-type transcriptional regulator ZntR,GCDEOBMB_00146,,INHMNHHN_05108,PDFLHPBO_05991,
group_2874,,hypothetical protein,,DBBBBKPJ_02141,INHMNHHN_05031,,FNCGEDBI_03812
group_2859,,hypothetical protein,GCDEOBMB_00172,,INHMNHHN_05133,PDFLHPBO_06017,
group_2787,,hypothetical protein,GCDEOBMB_00160,,INHMNHHN_05122,PDFLHPBO_06005,
group_2784,,hypothetical protein,GCDEOBMB_04282,DBBBBKPJ_05377,,PDFLHPBO_00657,
group_2783,,hypothetical protein,GCDEOBMB_00244,,INHMNHHN_06190,,FNCGEDBI_04759
group_2781,,hypothetical protein,GCDEOBMB_00198,,INHMNHHN_04535,,FNCGEDBI_04809
arsC_1,arsC_1,low molecular weight phosphatase,GCDEOBMB_00210,,INHMNHHN_06107,PDFLHPBO_06101,
aaaT,aaaT,L-amino acid N-acetyltransferase AaaT,,DBBBBKPJ_01627,INHMNHHN_01241,PDFLHPBO_03631,
group_2719,,hypothetical protein,,DBBBBKPJ_02134,INHMNHHN_05025,,FNCGEDBI_03805
group_2700,,hypothetical protein,GCDEOBMB_00247,DBBBBKPJ_03771,,,FNCGEDBI_04755
group_2698,,hypothetical protein,,,INHMNHHN_03558,PDFLHPBO_04581,FNCGEDBI_06116
group_2680,,DNA invertase,GCDEOBMB_04284,DBBBBKPJ_05375,,PDFLHPBO_00659,
group_2670,,transcriptional regulator,GCDEOBMB_03937,DBBBBKPJ_00685,,,FNCGEDBI_00948
group_2667,,hypothetical protein,GCDEOBMB_00238,,INHMNHHN_06184,,FNCGEDBI_04765
group_2645,,hypothetical protein,GCDEOBMB_00208,,INHMNHHN_06105,PDFLHPBO_06103,
yecD,yecD,Isochorismatase family protein YecD,,DBBBBKPJ_03853,INHMNHHN_04378,PDFLHPBO_03740,
group_2612,,hypothetical protein,GCDEOBMB_00253,DBBBBKPJ_03777,,,FNCGEDBI_04749
group_2592,,hypothetical protein,GCDEOBMB_00205,,INHMNHHN_06102,PDFLHPBO_06106,
group_2591,,hypothetical protein,GCDEOBMB_00149,,INHMNHHN_05111,PDFLHPBO_05994,
group_2588,,hypothetical protein,,,INHMNHHN_03797,PDFLHPBO_00907,FNCGEDBI_02149
lemA_1,lemA_1,Protein LemA,GCDEOBMB_00162,,INHMNHHN_05124,PDFLHPBO_06007,
group_2521,,hypothetical protein,GCDEOBMB_00251,DBBBBKPJ_03775,,,FNCGEDBI_04751
group_2491,,hypothetical protein,GCDEOBMB_00207,,INHMNHHN_06104,PDFLHPBO_06104,
group_2490,,hypothetical protein,GCDEOBMB_00156,,INHMNHHN_05118,PDFLHPBO_06001,
group_2484,,hypothetical protein,GCDEOBMB_03740,,INHMNHHN_05982,PDFLHPBO_04404,
group_2476,,hypothetical protein,GCDEOBMB_00167,,INHMNHHN_05129,PDFLHPBO_06012,
group_2473,,transcriptional regulator,,DBBBBKPJ_03855,INHMNHHN_04380,PDFLHPBO_03738,
group_2465,,hypothetical protein,GCDEOBMB_01892,,INHMNHHN_01505,,FNCGEDBI_00883
group_2451,,hypothetical protein,GCDEOBMB_05231,DBBBBKPJ_06251,,,FNCGEDBI_06286
group_2413,,hypothetical protein,GCDEOBMB_00221,,INHMNHHN_06118,PDFLHPBO_04421,
group_2395,,hypothetical protein,,DBBBBKPJ_02142,INHMNHHN_05032,,FNCGEDBI_03813
group_2357,,hypothetical protein,GCDEOBMB_05232,DBBBBKPJ_06252;DBBBBKPJ_05314,,,FNCGEDBI_06287
group_2344,,hypothetical protein,GCDEOBMB_00254,DBBBBKPJ_03778,,,FNCGEDBI_04748
group_2343,,hypothetical protein,GCDEOBMB_00206,,INHMNHHN_06103,PDFLHPBO_06105,
group_2338,,hypothetical protein,GCDEOBMB_06282,,INHMNHHN_00205,PDFLHPBO_04153,
group_2337,,hypothetical protein,GCDEOBMB_03742,,INHMNHHN_05984,PDFLHPBO_04406,
group_2334,,hypothetical protein,GCDEOBMB_01885,,INHMNHHN_01512,,FNCGEDBI_00876
arsH_1,arsH_1,NADPH-dependent FMN reductase ArsH,GCDEOBMB_00213,,INHMNHHN_06110,PDFLHPBO_06098,
group_2305,,hypothetical protein,GCDEOBMB_06279,,INHMNHHN_00208,PDFLHPBO_04156,
group_2296,,hypothetical protein,GCDEOBMB_00243,,INHMNHHN_06189,,FNCGEDBI_04760
group_2197,,ABC transporter permease,,,INHMNHHN_04984,PDFLHPBO_03153,FNCGEDBI_05357
group_2193,,enoyl-CoA hydratase,GCDEOBMB_03936,DBBBBKPJ_00684,,,FNCGEDBI_00949
group_2162,,hypothetical protein,GCDEOBMB_00224,,INHMNHHN_06121,PDFLHPBO_04424,
group_2148,,hypothetical protein,,DBBBBKPJ_02144,INHMNHHN_05034,,FNCGEDBI_03815
group_2134,,trans-aconitate 2-methyltransferase,GCDEOBMB_02466,DBBBBKPJ_01695,,PDFLHPBO_04467,
group_2127,,short-chain dehydrogenase,GCDEOBMB_00150,,INHMNHHN_05112,PDFLHPBO_05995,
group_2091,,ISNCY family transposase ISBcen27,GCDEOBMB_03739,,INHMNHHN_05981,PDFLHPBO_04403,
group_2077,,Polyphosphate:ADP phosphotransferase,GCDEOBMB_00165,,INHMNHHN_05127,PDFLHPBO_06010,
soj_1,soj_1,Sporulation initiation inhibitor protein Soj,GCDEOBMB_00241,,INHMNHHN_06187,,FNCGEDBI_04762
group_2042,,alpha/beta hydrolase,GCDEOBMB_03935,DBBBBKPJ_00683,,,FNCGEDBI_00950
clpP_1,clpP_1,ATP-dependent Clp protease proteolytic subunit,GCDEOBMB_03475,DBBBBKPJ_04420,,,FNCGEDBI_01715
group_2020,,transcriptional regulator,,,INHMNHHN_01436,PDFLHPBO_02601,FNCGEDBI_00967
prs_1,prs_1,ribose-phosphate pyrophosphokinase,GCDEOBMB_00157,,INHMNHHN_05119,PDFLHPBO_06002,
group_1987,,hypothetical protein,GCDEOBMB_06283,,INHMNHHN_00204,PDFLHPBO_04152,
group_1980,,hypothetical protein,GCDEOBMB_00161,,INHMNHHN_05123,PDFLHPBO_06006,
group_1958,,hypothetical protein,GCDEOBMB_00188,,INHMNHHN_05149,PDFLHPBO_06033,
group_1925,,hypothetical protein,GCDEOBMB_00222,,INHMNHHN_06119,PDFLHPBO_04422,
xerC_6,xerC_6,Tyrosine recombinase XerC,GCDEOBMB_06278,,INHMNHHN_00209,PDFLHPBO_04157,
galE,galE,UDP-glucose 4-epimerase,GCDEOBMB_01889,,INHMNHHN_01508,,FNCGEDBI_00880
group_1792,,hypothetical protein,,DBBBBKPJ_02143,INHMNHHN_05033,,FNCGEDBI_03814
group_1788,,hypothetical protein,GCDEOBMB_03741,,INHMNHHN_05983,PDFLHPBO_04405,
group_1780,,hypothetical protein,,,INHMNHHN_04407,PDFLHPBO_03712,FNCGEDBI_04697
ldhA_1,ldhA_1,D-lactate dehydrogenase,GCDEOBMB_00154,,INHMNHHN_05116,PDFLHPBO_05999,
group_1747,,hypothetical protein,,DBBBBKPJ_02146,INHMNHHN_05036,,FNCGEDBI_03817
group_1744,,hypothetical protein,GCDEOBMB_00152,,INHMNHHN_05114,PDFLHPBO_05997,
group_1723,acr3,Arsenical-resistance protein Acr3,GCDEOBMB_00211,,INHMNHHN_06108,PDFLHPBO_06100,
group_1704,,hypothetical protein,,DBBBBKPJ_02106,INHMNHHN_04995,,FNCGEDBI_03779
group_1700,,hypothetical protein,,DBBBBKPJ_02107,INHMNHHN_04996,,FNCGEDBI_03780
group_1694,,hypothetical protein,,DBBBBKPJ_01798,INHMNHHN_04105,,FNCGEDBI_04803
group_1693,,hypothetical protein,,DBBBBKPJ_01797,INHMNHHN_04106,,FNCGEDBI_04802
group_1692,,hypothetical protein,GCDEOBMB_02854,,,PDFLHPBO_00459,FNCGEDBI_02197
group_1691,,hypothetical protein,GCDEOBMB_03467,DBBBBKPJ_04412,,,FNCGEDBI_01709
group_1690,,hypothetical protein,GCDEOBMB_03481,DBBBBKPJ_04428,,,FNCGEDBI_01719
group_1689,,hypothetical protein,,DBBBBKPJ_01782,INHMNHHN_04122,,FNCGEDBI_04786
group_1687,,hypothetical protein,,DBBBBKPJ_01796,INHMNHHN_04107,,FNCGEDBI_04801
group_1686,,hypothetical protein,,DBBBBKPJ_01795,INHMNHHN_04108,,FNCGEDBI_04800
group_1685,,hypothetical protein,GCDEOBMB_02853,,,PDFLHPBO_00460,FNCGEDBI_02196
group_1681,,hypothetical protein,GCDEOBMB_03480,DBBBBKPJ_04426,,,FNCGEDBI_01718
group_1680,,hypothetical protein,,DBBBBKPJ_01783,INHMNHHN_04120,,FNCGEDBI_04788
group_1679,,IS5 family transposase ISXoo14,GCDEOBMB_00125,,INHMNHHN_05087,PDFLHPBO_06268,
group_1678,,hypothetical protein,,DBBBBKPJ_01794,INHMNHHN_04109,,FNCGEDBI_04799
group_1672,,hypothetical protein,GCDEOBMB_03478,DBBBBKPJ_04423,,,FNCGEDBI_01717
group_1668,,hypothetical protein,GCDEOBMB_03471,DBBBBKPJ_04416,,,FNCGEDBI_01711
group_1660,,hypothetical protein,GCDEOBMB_02819,,,PDFLHPBO_00913,FNCGEDBI_02143
group_1659,,hypothetical protein,,,INHMNHHN_06124,PDFLHPBO_00949,FNCGEDBI_03856
group_1652,,hypothetical protein,,DBBBBKPJ_01784,INHMNHHN_04118,,FNCGEDBI_04790
group_1643,,hypothetical protein,,DBBBBKPJ_01792,INHMNHHN_04110,,FNCGEDBI_04798
group_1641,,hypothetical protein,,DBBBBKPJ_01785,INHMNHHN_04117,,FNCGEDBI_04791
group_1640,,hypothetical protein,,DBBBBKPJ_01787,INHMNHHN_04115,,FNCGEDBI_04793
group_1629,,hypothetical protein,,DBBBBKPJ_01791,INHMNHHN_04111,,FNCGEDBI_04797
group_1628,,hypothetical protein,,DBBBBKPJ_01786,INHMNHHN_04116,,FNCGEDBI_04792
group_1619,,bacteriophage protein,,DBBBBKPJ_02126,INHMNHHN_05017,,FNCGEDBI_03797
group_1615,,hypothetical protein,GCDEOBMB_00597,,INHMNHHN_01068,,FNCGEDBI_05099
group_1607,,hypothetical protein,GCDEOBMB_01003,,,PDFLHPBO_00942,FNCGEDBI_03849
group_1587,,hypothetical protein,GCDEOBMB_04711,DBBBBKPJ_04663,INHMNHHN_02649,,
group_1567,,bacteriophage protein,,DBBBBKPJ_02125,INHMNHHN_05016,,FNCGEDBI_03796
group_1553,,hypothetical protein,,DBBBBKPJ_02136,INHMNHHN_05027,,FNCGEDBI_03808
ackA_1,ackA_1,acetate kinase,GCDEOBMB_00145,,INHMNHHN_05107,PDFLHPBO_05990,
group_1549,,hypothetical protein,,,INHMNHHN_01995,PDFLHPBO_00975;PDFLHPBO_00976,FNCGEDBI_03883
cysC,cysC,adenylyl-sulfate kinase,GCDEOBMB_01880,,INHMNHHN_01517,,FNCGEDBI_00871
group_1516,,hypothetical protein,,,INHMNHHN_03799,PDFLHPBO_00909,FNCGEDBI_02147
group_1512,,hypothetical protein,,DBBBBKPJ_02116,INHMNHHN_05007,,FNCGEDBI_03788
group_1511,,hypothetical protein,,DBBBBKPJ_02114,INHMNHHN_05005,,FNCGEDBI_03786
group_1505,,hypothetical protein,GCDEOBMB_04280,DBBBBKPJ_05379,,PDFLHPBO_00655,
group_1503,,hypothetical protein,,DBBBBKPJ_02132,INHMNHHN_05023,,FNCGEDBI_03803
group_1502,,bacteriophage protein,,DBBBBKPJ_02130,INHMNHHN_05021,,FNCGEDBI_03801
group_1500,,hypothetical protein,,DBBBBKPJ_02139,INHMNHHN_05030,,FNCGEDBI_03811
group_1499,,hypothetical protein,,,INHMNHHN_03801,PDFLHPBO_00911,FNCGEDBI_02145
group_1487,,hypothetical protein,,DBBBBKPJ_02123,INHMNHHN_05014,,FNCGEDBI_03794
group_1486,,hypothetical protein,,DBBBBKPJ_02121,INHMNHHN_05012,,FNCGEDBI_03792
group_1476,,glycosyl transferase family protein,GCDEOBMB_01888,,INHMNHHN_01509,,FNCGEDBI_00879
group_1455,,hypothetical protein,,DBBBBKPJ_02135,INHMNHHN_05026,,FNCGEDBI_03806
group_1453,,hypothetical protein;IS3 family transposase ISPa32,GCDEOBMB_06297,,,PDFLHPBO_02888,FNCGEDBI_05730
group_1445,,hypothetical protein,,DBBBBKPJ_02133,INHMNHHN_05024,,FNCGEDBI_03804
group_1403,,alkaline phosphatase L,GCDEOBMB_05817,DBBBBKPJ_02074,,PDFLHPBO_04059,
group_1386,,hypothetical protein,GCDEOBMB_03474,DBBBBKPJ_04419,,,FNCGEDBI_01714
group_1385,,hypothetical protein,GCDEOBMB_03476,DBBBBKPJ_04421,,,FNCGEDBI_01716
group_1370,,hypothetical protein,GCDEOBMB_02464,DBBBBKPJ_01693,,PDFLHPBO_04465,
vqsM,vqsM,HTH-type transcriptional regulator VqsM,GCDEOBMB_03743,,INHMNHHN_05986,PDFLHPBO_04408,
group_1333,,bacteriophage integrase,GCDEOBMB_00585,,INHMNHHN_04991,,FNCGEDBI_03532
group_1299,,hypothetical protein,GCDEOBMB_03744,,INHMNHHN_05987,PDFLHPBO_04409,
pilA,pilA,type 4 fimbrial protein PilA,,,INHMNHHN_01994,PDFLHPBO_00974,FNCGEDBI_03882
sbnD,sbnD,Staphyloferrin B transporter,,DBBBBKPJ_03854,INHMNHHN_04379,PDFLHPBO_03739,
group_1256,,hypothetical protein,,DBBBBKPJ_02124,INHMNHHN_05015,,FNCGEDBI_03795
group_1212,,glycosyl transferase family protein,GCDEOBMB_01882,,INHMNHHN_01515,,FNCGEDBI_00873
exaC~~~exaC_1,exaC;exaC_1,NAD+ dependent aldehyde dehydrogenase ExaC,GCDEOBMB_00116,DBBBBKPJ_04216,,PDFLHPBO_05299,
group_1204,,hypothetical protein,GCDEOBMB_01886,,INHMNHHN_01511,,FNCGEDBI_00877
comM_2~~~comM_1,comM_2;comM_1,Competence protein ComM,GCDEOBMB_03275,DBBBBKPJ_05344,,PDFLHPBO_06128,
group_1197,,hypothetical protein,,DBBBBKPJ_02137,INHMNHHN_05028,,FNCGEDBI_03809
group_1193,,hypothetical protein,,DBBBBKPJ_00056,INHMNHHN_03137,,FNCGEDBI_01477
group_1187,,hypothetical protein,GCDEOBMB_00151,,INHMNHHN_05113,PDFLHPBO_05996,
group_1157,,hypothetical protein,GCDEOBMB_00248,DBBBBKPJ_03772,,,FNCGEDBI_04754
group_1124,,hypothetical protein,GCDEOBMB_00586,,INHMNHHN_04990,,FNCGEDBI_03533
group_1122,,hypothetical protein,GCDEOBMB_00214,,INHMNHHN_06111,PDFLHPBO_06097,
group_1116,,ISL3 family transposase ISIde1,GCDEOBMB_00173,,INHMNHHN_05134,PDFLHPBO_06018,
group_1112,,hypothetical protein,,,INHMNHHN_04983,PDFLHPBO_03154,FNCGEDBI_05356
group_1097,,hypothetical protein,GCDEOBMB_02057,,,PDFLHPBO_02186,FNCGEDBI_04239
group_1087,,hypothetical protein,,,INHMNHHN_00007,PDFLHPBO_03229,FNCGEDBI_01801
group_1084,,hypothetical protein,GCDEOBMB_06280,,INHMNHHN_00207,PDFLHPBO_04155,
group_1078,,putative fatty acid methyltransferase,GCDEOBMB_00147,,INHMNHHN_05109,PDFLHPBO_05992,
group_1056,,hypothetical protein,GCDEOBMB_00163,,INHMNHHN_05125,PDFLHPBO_06008,
rayT,rayT,REP-associated tyrosine transposase,,DBBBBKPJ_00593,INHMNHHN_04457,PDFLHPBO_02670,
group_1008,,ABC transporter ATP-binding protein,GCDEOBMB_01887,,INHMNHHN_01510,,FNCGEDBI_00878
group_1006,,hypothetical protein,GCDEOBMB_01881,,INHMNHHN_01516,,FNCGEDBI_00872
group_981,,glycosyl transferase family protein,GCDEOBMB_01883,,INHMNHHN_01514,,FNCGEDBI_00874
group_970,,Ribonuclease,GCDEOBMB_00159,,INHMNHHN_05121,PDFLHPBO_06004,
group_929,,glucose-sensitive porin,GCDEOBMB_03808,,,PDFLHPBO_05154,FNCGEDBI_05361
group_910,,hypothetical protein,GCDEOBMB_00594,,INHMNHHN_01065,,FNCGEDBI_06427
group_906,,hypothetical protein,GCDEOBMB_00189,,INHMNHHN_05150,PDFLHPBO_06034,
hss,hss,Homospermidine synthase,GCDEOBMB_06281,,INHMNHHN_00206,PDFLHPBO_04154,
group_864,,hypothetical protein,,,INHMNHHN_03796,PDFLHPBO_00906,FNCGEDBI_02150
group_818,,hypothetical protein,GCDEOBMB_03934,DBBBBKPJ_00682,,,FNCGEDBI_00951
group_810,,glycosyl transferase family protein,GCDEOBMB_01884,,INHMNHHN_01513,,FNCGEDBI_00875
group_809,,hypothetical protein,GCDEOBMB_00166,,INHMNHHN_05128,PDFLHPBO_06011,
group_804,,hypothetical protein,GCDEOBMB_03473,DBBBBKPJ_04418,,,FNCGEDBI_01713
group_776,,hypothetical protein,,,INHMNHHN_04616,3_refound_48,FNCGEDBI_01320
group_768,,hypothetical protein,GCDEOBMB_00127,,INHMNHHN_05089,PDFLHPBO_06270,
group_727,,hypothetical protein,GCDEOBMB_04244,1_refound_16,,,FNCGEDBI_04979
group_724,,Putative thymidine phosphorylase,GCDEOBMB_00158,,INHMNHHN_05120,PDFLHPBO_06003,
group_717,,hypothetical protein,GCDEOBMB_00249,DBBBBKPJ_03773,,,FNCGEDBI_04753
ptrB_2,ptrB_2,repressor PtrB,,DBBBBKPJ_02109,INHMNHHN_04999,,FNCGEDBI_03782
ubiB_1,ubiB_1,putative protein kinase UbiB,GCDEOBMB_00153,,INHMNHHN_05115,PDFLHPBO_05998,
group_634,,hypothetical protein,GCDEOBMB_04302,DBBBBKPJ_05369,INHMNHHN_03189,,
group_630,,hypothetical protein,GCDEOBMB_00242,,INHMNHHN_06188,,FNCGEDBI_04761
group_617,,hypothetical protein,GCDEOBMB_00144,,INHMNHHN_05106,PDFLHPBO_05989,
group_605,,hypothetical protein,GCDEOBMB_00239,,INHMNHHN_06185,,FNCGEDBI_04764
group_601,,hypothetical protein,,,INHMNHHN_04406,PDFLHPBO_03713,FNCGEDBI_04698
group_571,,hypothetical protein,GCDEOBMB_00215,,INHMNHHN_06112,PDFLHPBO_04415,
group_559,,hypothetical protein,,DBBBBKPJ_02113,INHMNHHN_05004,,FNCGEDBI_03785
group_543,,hypothetical protein,,DBBBBKPJ_02145,INHMNHHN_05035,,FNCGEDBI_03816
group_529,,hypothetical protein,GCDEOBMB_01890,,INHMNHHN_01507,,FNCGEDBI_00881
group_527,,hypothetical protein,GCDEOBMB_04299,DBBBBKPJ_05366,INHMNHHN_03192,,
group_520,,hypothetical protein,GCDEOBMB_00168,,INHMNHHN_05130,PDFLHPBO_06013,
group_509,,hypothetical protein,GCDEOBMB_00252,DBBBBKPJ_03776,,,FNCGEDBI_04750
group_478,,hypothetical protein,,,INHMNHHN_03798,PDFLHPBO_00908,FNCGEDBI_02148
group_470,,hypothetical protein,GCDEOBMB_00155,,INHMNHHN_05117,PDFLHPBO_06000,
group_464,,hypothetical protein,GCDEOBMB_00282,,INHMNHHN_04384,,FNCGEDBI_04720
imm2_2,imm2_2,pyocin-S2 immunity protein,,,INHMNHHN_04003,PDFLHPBO_02673,4_refound_62
group_424,,type II secretion system protein,GCDEOBMB_01891,,INHMNHHN_01506,,FNCGEDBI_00882
group_403,,hypothetical protein,GCDEOBMB_00240,,INHMNHHN_06186,,FNCGEDBI_04763
group_381,,hypothetical protein,,,INHMNHHN_03800,PDFLHPBO_00910,FNCGEDBI_02146
merP_2,merP_2,Mercuric transport protein periplasmic component,GCDEOBMB_04303,DBBBBKPJ_05370,INHMNHHN_03188,,
group_372,,hypothetical protein,GCDEOBMB_00250,DBBBBKPJ_03774,,,FNCGEDBI_04752
group_365,,hypothetical protein,GCDEOBMB_00225,,INHMNHHN_06122,PDFLHPBO_04425,
group_322,,hypothetical protein,GCDEOBMB_04279,DBBBBKPJ_05380,,PDFLHPBO_00654,
group_308,,hypothetical protein,,DBBBBKPJ_02115,INHMNHHN_05006,,FNCGEDBI_03787
xfp,xfp,Xylulose-5-phosphate/fructose-6-phosphate phosphoketolase,GCDEOBMB_00148,,INHMNHHN_05110,PDFLHPBO_05993,
group_283,,hypothetical protein,GCDEOBMB_00143,,INHMNHHN_05105,PDFLHPBO_05988,
copA,copA,Copper-exporting P-type ATPase,GCDEOBMB_00164,,INHMNHHN_05126,PDFLHPBO_06009,
group_238,,hypothetical protein,,DBBBBKPJ_02112,INHMNHHN_05003,,FNCGEDBI_03784
group_197,,hypothetical protein,GCDEOBMB_00246,DBBBBKPJ_03770,,,FNCGEDBI_04756
group_196,,hypothetical protein,GCDEOBMB_00245,DBBBBKPJ_03769,,,FNCGEDBI_04757
group_194,,hypothetical protein,GCDEOBMB_00209,,INHMNHHN_06106,PDFLHPBO_06102,
group_191,,Tn3 family transposase ISXc4,GCDEOBMB_04301,DBBBBKPJ_05368,INHMNHHN_03190,,
group_189,,hypothetical protein,,DBBBBKPJ_02243,,PDFLHPBO_02181,FNCGEDBI_04244
group_187,,Tn3 family transposase ISPa42,GCDEOBMB_06285,,INHMNHHN_00203,PDFLHPBO_04151,
group_178,,hypothetical protein,GCDEOBMB_04281,DBBBBKPJ_05378,,PDFLHPBO_00656,
group_174,czcA_1,resistance-nodulation-cell division (RND) divalent metal cation efflux transporter CzcA,GCDEOBMB_00126,,INHMNHHN_05088,PDFLHPBO_06269,
group_167,,hypothetical protein,GCDEOBMB_00220,,INHMNHHN_06117,PDFLHPBO_04420,
group_166,,hypothetical protein,GCDEOBMB_00142,,INHMNHHN_05104,PDFLHPBO_05987,
group_134,,hypothetical protein,GCDEOBMB_05816,DBBBBKPJ_02075,,PDFLHPBO_04060,
group_126,,oxidoreductase,,DBBBBKPJ_01042,INHMNHHN_00826,PDFLHPBO_04214,
group_116,,3-ketoacyl-ACP reductase,GCDEOBMB_00036,DBBBBKPJ_01052,INHMNHHN_00836,,
group_67,,hypothetical protein,,DBBBBKPJ_01041,INHMNHHN_00825,PDFLHPBO_04215,
exaC_2,;exaC_2,aldehyde dehydrogenase;NAD+ dependent aldehyde dehydrogenase ExaC,GCDEOBMB_04381,DBBBBKPJ_00970,,PDFLHPBO_04286,
vanA_1,vanA_1,vanillate O-demethylase oxygenase,,DBBBBKPJ_01043,INHMNHHN_00827,PDFLHPBO_04213,
group_38,,transcriptional regulator,GCDEOBMB_00035,DBBBBKPJ_01053,INHMNHHN_00837,,
group_4928,,hypothetical protein,,,INHMNHHN_04765,PDFLHPBO_05867,
group_4927,,hypothetical protein,GCDEOBMB_02791,,INHMNHHN_01699,,
hcpB_3,hcpB_3,secreted protein Hcp,,,INHMNHHN_06181,,FNCGEDBI_03667
group_4922,,IS3 family transposase IS222,GCDEOBMB_03846,,INHMNHHN_04456,,
group_4921,,IS3 family transposase IS222,GCDEOBMB_02443,DBBBBKPJ_05473,,,
group_4920,,hypothetical protein,0_refound_8,,,,FNCGEDBI_06463
group_4914,,hypothetical protein,,,INHMNHHN_04764,PDFLHPBO_05869,
group_4913,,hypothetical protein,,,2_refound_37,PDFLHPBO_05868,
group_4905,,hypothetical protein,,,INHMNHHN_06220,PDFLHPBO_06279,
group_4904,,short-chain dehydrogenase,,,INHMNHHN_06079,,FNCGEDBI_00161
group_4903,,hypothetical protein,,,INHMNHHN_05883,,FNCGEDBI_06442
group_4902,,DNA invertase,,,INHMNHHN_03225,PDFLHPBO_06064,
group_4901,,Tn3 family transposase ISPa38,,,INHMNHHN_03226,PDFLHPBO_06065,
folP_2,folP_2,dihydropteroate synthase,,DBBBBKPJ_06237,,PDFLHPBO_06278,
uvrA_2,uvrA_2,excinuclease ABC subunit A,,DBBBBKPJ_05754,,PDFLHPBO_00546,
