Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences,Avg sequences per isolate,Genome Fragment,Order within Fragment,Accessory Fragment,Accessory Order with Fragment,QC,Min group size nuc,Max group size nuc,Avg group size nuc,0F525Q1V,4D4LKLYR,A4O0PUJ2,AWGWLE2V,UE20R4AD
group_2167,,hypothetical protein,1,1,1.0,1,3249,,,,744,744,744.0,,,PDFLHPBO_03525,,
gbcB_1,gbcB_1,protein GbcB,1,1,1.0,1,3243,,,,747,747,747.0,,,,,GCDEOBMB_04292
group_2164,,hypothetical protein,1,1,1.0,1,3242,,,,747,747,747.0,,,,,GCDEOBMB_03434
group_2155,,hypothetical protein,1,1,1.0,1,3227,,,,750,750,750.0,,FNCGEDBI_01258,,,
group_2154,,hypothetical protein,1,1,1.0,1,3226,,,,750,750,750.0,,FNCGEDBI_01246,,,
group_2149,,hypothetical protein,1,1,1.0,1,3218,,,,753,753,753.0,,,,,GCDEOBMB_00557
group_2148,,hypothetical protein,1,1,1.0,1,3217,,,,753,753,753.0,,,,DBBBBKPJ_04755,
group_2145,,hemin importer ATP-binding subunit,1,1,1.0,1,3209,,,,756,756,756.0,,,,,GCDEOBMB_04309
group_2144,,IS21 family transposase ISUnCu3,1,1,1.0,1,3208,,,,756,756,756.0,,,,,GCDEOBMB_03426
group_2139,,hypothetical protein,1,1,1.0,1,3197,,,,759,759,759.0,,,,DBBBBKPJ_03920,
tam_3,tam_3,Trans-aconitate 2-methyltransferase,1,1,1.0,1,3187,,,,762,762,762.0,,,PDFLHPBO_02782,,
group_2129,,hypothetical protein,1,1,1.0,1,3181,,,,762,762,762.0,INHMNHHN_00682,,,,
group_2125,intA_1,Prophage integrase IntA,1,1,1.0,1,3177,,,,765,765,765.0,,,,,GCDEOBMB_04788
kdsB_1,kdsB_1,3-deoxy-manno-octulosonate cytidylyltransferase,1,1,1.0,1,3168,,,,768,768,768.0,,FNCGEDBI_01104,,,
group_2112,,hypothetical protein,1,1,1.0,1,3155,,,,771,771,771.0,,,PDFLHPBO_03553,,
group_2110,,hypothetical protein,1,1,1.0,1,3151,,,,771,771,771.0,INHMNHHN_05649,,,,
group_2097,,short-chain dehydrogenase,1,1,1.0,1,3135,,,,777,777,777.0,,FNCGEDBI_02173,,,
group_2081,,hypothetical protein,1,1,1.0,1,3111,,,,783,783,783.0,,,,,GCDEOBMB_03487
group_2080,,IS256 family transposase ISRso7,1,1,1.0,1,3110,,,,783,783,783.0,,,PDFLHPBO_00458,,
group_2079,,hypothetical protein,1,1,1.0,1,3109,,,,783,783,783.0,INHMNHHN_05002,,,,
opdT_3,opdT_3,tyrosine porin OpdT,1,1,1.0,1,3099,,,,789,789,789.0,,FNCGEDBI_05719,,,
group_2072,,hypothetical protein,1,1,1.0,1,3098,,,,789,789,789.0,,FNCGEDBI_01221,,,
group_2065,,hypothetical protein,1,1,1.0,1,3088,,,,792,792,792.0,,FNCGEDBI_05710,,,
group_2064,,IS21 family transposase ISPa36,1,1,1.0,1,3087,,,,792,792,792.0,,FNCGEDBI_04859,,,
group_2059,,ABC transporter permease,1,1,1.0,1,3081,,,,795,795,795.0,,,,,GCDEOBMB_04320
group_2058,,hypothetical protein,1,1,1.0,1,3080,,,,795,795,795.0,INHMNHHN_06055,,,,
pvdG_2,pvdG_2,pyoverdine biosynthesis protein PvdG,1,1,1.0,1,3077,,,,795,795,795.0,INHMNHHN_05395,,,,
dpnM,dpnM,Modification methylase DpnIIA,1,1,1.0,1,3052,,,,804,804,804.0,,,,,GCDEOBMB_00451
group_2039,,hypothetical protein,1,1,1.0,1,3044,,,,1158,1158,1158.0,,,,DBBBBKPJ_01701,
recE,recE,Exodeoxyribonuclease 8,1,1,1.0,1,3033,,,,810,810,810.0,,,,DBBBBKPJ_01972,
group_2025,,hypothetical protein,1,1,1.0,1,3025,,,,813,813,813.0,,,,DBBBBKPJ_05361,
group_2024,aguB_1,N-carbamoylputrescine amidohydrolase,1,1,1.0,1,3024,,,,813,813,813.0,,FNCGEDBI_01347,,,
group_2017,,hypothetical protein,1,1,1.0,1,3015,,,,816,816,816.0,,,,,GCDEOBMB_03445
group_2016,,hypothetical protein,1,1,1.0,1,3014,,,,816,816,816.0,,FNCGEDBI_01268,,,
group_2012,,hypothetical protein,1,1,1.0,1,3008,,,,819,819,819.0,,,PDFLHPBO_00635,,
group_2007,,hypothetical protein,1,1,1.0,1,3002,,,,822,822,822.0,,,PDFLHPBO_03551,,
group_2006,,ABC transporter ATP-binding protein,1,1,1.0,1,3001,,,,822,822,822.0,,,PDFLHPBO_03543,,
group_1999,,hypothetical protein,1,1,1.0,1,2991,,,,825,825,825.0,,,,,GCDEOBMB_00512
group_1993,,hypothetical protein,1,1,1.0,1,2982,,,,828,828,828.0,,,PDFLHPBO_03559,,
group_1992,,hypothetical protein,1,1,1.0,1,2981,,,,828,828,828.0,,FNCGEDBI_01234,,,
group_1988,,hypothetical protein,1,1,1.0,1,2973,,,,831,831,831.0,,,,DBBBBKPJ_01973,
ogg,ogg,N-glycosylase/DNA lyase,1,1,1.0,1,2964,,,,834,834,834.0,,,,DBBBBKPJ_05349,
group_1979,,hypothetical protein,1,1,1.0,1,2956,,,,837,837,837.0,,FNCGEDBI_05711,,,
group_1978,,hypothetical protein,1,1,1.0,1,2955,,,,837,837,837.0,,FNCGEDBI_01673,,,
zitB,zitB,Zinc transporter ZitB,1,1,1.0,1,2945,,,,837,837,837.0,INHMNHHN_00681,,,,
group_1967,,transcriptional regulator,1,1,1.0,1,2938,,,,843,843,843.0,,,,,GCDEOBMB_04330
group_1966,,hypothetical protein,1,1,1.0,1,2937,,,,843,843,843.0,,FNCGEDBI_05716,,,
group_1957,,hypothetical protein,1,1,1.0,1,2922,,,,852,852,852.0,,FNCGEDBI_01216,,,
group_1953,,hypothetical protein,1,1,1.0,1,2914,,,,855,855,855.0,,FNCGEDBI_05725,,,
group_1949,,hypothetical protein,1,1,1.0,1,2907,,,,858,858,858.0,,,,DBBBBKPJ_02104,
cif_1,cif_1,CFTR inhibitory factor,1,1,1.0,1,2906,,,,858,858,858.0,,,,DBBBBKPJ_02032,
group_1944,,IS3 family transposase ISStma5,1,1,1.0,1,2900,,,,861,861,861.0,,,,,GCDEOBMB_02820
ctx,ctx,Cytotoxin,1,1,1.0,1,2899,,,,861,861,861.0,,FNCGEDBI_03818,,,
group_1943,,hypothetical protein,1,1,1.0,1,2898,,,,861,861,861.0,,FNCGEDBI_01727,,,
group_1937,,hypothetical protein,1,1,1.0,1,2891,,,,861,861,861.0,INHMNHHN_01237,,,,
group_1936,,hypothetical protein,1,1,1.0,1,2889,,,,864,864,864.0,,,,DBBBBKPJ_01700,
ydhP,ydhP,Inner membrane transport protein YdhP,1,1,1.0,1,2882,,,,1176,1176,1176.0,,,,DBBBBKPJ_01581,
rhtA_2,rhtA_2,Threonine/homoserine exporter RhtA,1,1,1.0,1,2870,,,,870,870,870.0,,,,DBBBBKPJ_05359,
group_1924,,hypothetical protein,1,1,1.0,1,2869,,,,870,870,870.0,,,,DBBBBKPJ_02417,
ygbT,ygbT,CRISPR-associated endonuclease Cas1,1,1,1.0,1,2863,,,,873,873,873.0,,FNCGEDBI_00939,,,
group_1914,,hypothetical protein,1,1,1.0,1,2850,,,,879,879,879.0,,,,DBBBBKPJ_05391,
group_1913,,hypothetical protein,1,1,1.0,1,2849,,,,879,879,879.0,,,,DBBBBKPJ_02036,
group_1909,,hypothetical protein,1,1,1.0,1,2843,,,,882,882,882.0,,,PDFLHPBO_00899,,
group_1908,,hypothetical protein,1,1,1.0,1,2842,,,,882,882,882.0,,FNCGEDBI_06005,,,
group_1902,,transcriptional regulator,1,1,1.0,1,2834,,,,885,885,885.0,,,,,GCDEOBMB_04325
katN,katN,non-heme catalase KatN,1,1,1.0,1,2832,,,,885,885,885.0,,FNCGEDBI_01469,,,
group_1896,,hypothetical protein,1,1,1.0,1,2823,,,,888,888,888.0,,,,DBBBBKPJ_02120,
group_1894,,hypothetical protein,1,1,1.0,1,2821,,,,888,888,888.0,,FNCGEDBI_01254,,,
group_1884,,transcriptional regulator,1,1,1.0,1,2808,,,,891,891,891.0,,,,DBBBBKPJ_02026,
group_1883,,hypothetical protein,1,1,1.0,1,2807,,,,891,891,891.0,,FNCGEDBI_01691,,,
yedA_1,yedA_1,putative inner membrane transporter YedA,1,1,1.0,1,2806,,,,891,891,891.0,,FNCGEDBI_01376,,,
group_1862,,transcriptional regulator,1,1,1.0,1,2772,,,,900,900,900.0,,FNCGEDBI_01213,,,
group_1855,,hypothetical protein,1,1,1.0,1,2763,,,,903,903,903.0,,,,,GCDEOBMB_03443
group_1845,,hypothetical protein,1,1,1.0,1,2751,,,,906,906,906.0,,,,DBBBBKPJ_05392,
group_1844,,transcriptional regulator,1,1,1.0,1,2750,,,,906,906,906.0,,,PDFLHPBO_03536,,
group_1843,,transcriptional regulator,1,1,1.0,1,2749,,,,906,906,906.0,,,PDFLHPBO_03532,,
group_1834,,hypothetical protein,1,1,1.0,1,2737,,,,909,909,909.0,,,,,GCDEOBMB_04269
group_1833,,hypothetical protein,1,1,1.0,1,2736,,,,909,909,909.0,,,,DBBBBKPJ_05389,
group_1823,,hypothetical protein,1,1,1.0,1,2723,,,,912,912,912.0,,,,DBBBBKPJ_01699,
group_1802,,hypothetical protein,1,1,1.0,1,2691,,,,918,918,918.0,,,,,GCDEOBMB_03451
group_1801,,cysteine synthase,1,1,1.0,1,2690,,,,918,918,918.0,,FNCGEDBI_01379,,,
group_1794,,hypothetical protein,1,1,1.0,1,2681,,,,921,921,921.0,,FNCGEDBI_03472,,,
group_1792,,hypothetical protein,1,1,1.0,1,2679,,,,921,921,921.0,,FNCGEDBI_01269,,,
argC_1,argC_1,N-acetyl-gamma-glutamyl-phosphate reductase,1,1,1.0,1,2663,,,,930,930,930.0,,,,,GCDEOBMB_04324
group_1784,,hypothetical protein,1,1,1.0,1,2662,,,,930,930,930.0,,,,,GCDEOBMB_04319
group_1783,,hypothetical protein,1,1,1.0,1,2661,,,,930,930,930.0,,,PDFLHPBO_03544,,
fgtA_1,fgtA_1,flagellar glycosyl transferase FgtA,1,1,1.0,1,2660,,,,930,930,930.0,,,PDFLHPBO_02778,,
group_1767,,hypothetical protein,1,1,1.0,1,2633,,,,939,939,939.0,,FNCGEDBI_01261,,,
group_1760,,hypothetical protein,1,1,1.0,1,2616,,,,945,945,945.0,,,,DBBBBKPJ_05365,
group_1759,intA_1,Prophage integrase IntA,1,1,1.0,1,2615,,,,1203,1203,1203.0,,,,DBBBBKPJ_01697,
group_1752,,hypothetical protein,1,1,1.0,1,2606,,,,948,948,948.0,,,,DBBBBKPJ_03922,
group_1742,,hypothetical protein,1,1,1.0,1,2590,,,,954,954,954.0,,,,DBBBBKPJ_05346,
group_1724,,hypothetical protein,1,1,1.0,1,2561,,,,966,966,966.0,,,,,GCDEOBMB_00530
garK_1,garK_1,Glycerate 2-kinase,1,1,1.0,1,2560,,,,966,966,966.0,,,,DBBBBKPJ_03932,
mexE_2,mexE_2,resistance-nodulation-cell division (RND) multidrug efflux membrane fusion protein MexE,1,1,1.0,1,2557,,,,969,969,969.0,,FNCGEDBI_04834,,,
group_1721,,transcriptional regulator,1,1,1.0,1,2556,,,,969,969,969.0,INHMNHHN_05403,,,,
group_1692,,hypothetical protein,1,1,1.0,1,2516,,,,984,984,984.0,INHMNHHN_04998,,,,
group_1687,,bacteriophage integrase,1,1,1.0,1,2511,,,,987,987,987.0,,,,DBBBBKPJ_02245,
group_1679,,secretion protein,1,1,1.0,1,2496,,,,993,993,993.0,,,,DBBBBKPJ_05385,
group_1678,,hypothetical protein,1,1,1.0,1,2495,,,,993,993,993.0,,,PDFLHPBO_03521,,
group_1677,,hypothetical protein,1,1,1.0,1,2494,,,,993,993,993.0,,,PDFLHPBO_00634,,
group_1676,,hypothetical protein,1,1,1.0,1,2493,,,,993,993,993.0,,FNCGEDBI_05698,,,
group_1670,,hypothetical protein,1,1,1.0,1,2483,,,,999,999,999.0,,,,DBBBBKPJ_02425,
group_1663,,hypothetical protein,1,1,1.0,1,2468,,,,1002,1002,1002.0,,FNCGEDBI_01225,,,
group_1649,,hypothetical protein,1,1,1.0,1,2452,,,,1011,1011,1011.0,,,,DBBBBKPJ_04760,
group_1648,xerC_1,Tyrosine recombinase XerC,1,1,1.0,1,2451,,,,1011,1011,1011.0,,,,DBBBBKPJ_01987,
group_1647,,secretion protein,1,1,1.0,1,2450,,,,1011,1011,1011.0,INHMNHHN_05393,,,,
group_1644,,hypothetical protein,1,1,1.0,1,2444,,,,1014,1014,1014.0,,,,,GCDEOBMB_04791
group_1643,,hypothetical protein,1,1,1.0,1,2443,,,,1014,1014,1014.0,,FNCGEDBI_03791,,,
group_1625,,hypothetical protein,1,1,1.0,1,2407,,,,1023,1023,1023.0,INHMNHHN_00679,,,,
group_1624,,hypothetical protein,1,1,1.0,1,2406,,,,1026,1026,1026.0,,,,DBBBBKPJ_04756,
group_1620,,IS30 family transposase ISUnCu4,1,1,1.0,1,2400,,,,1029,1029,1029.0,,,,,GCDEOBMB_04322
group_1619,,hypothetical protein,1,1,1.0,1,2399,,,,1029,1029,1029.0,,FNCGEDBI_01667,,,
group_1616,,chemotaxis transducer,1,1,1.0,1,2396,,,,1032,1032,1032.0,,,,,GCDEOBMB_04321
group_1615,,ABC transporter,1,1,1.0,1,2395,,,,1032,1032,1032.0,,,,,GCDEOBMB_04312
group_1614,,hypothetical protein,1,1,1.0,1,2394,,,,1032,1032,1032.0,,,,DBBBBKPJ_01969,
group_1612,,hypothetical protein,1,1,1.0,1,2390,,,,1035,1035,1035.0,,,,,GCDEOBMB_02812
alx_2,alx_2,Putative membrane-bound redox modulator Alx,1,1,1.0,1,2389,,,,1035,1035,1035.0,,,,DBBBBKPJ_03927,
group_1598,,hypothetical protein,1,1,1.0,1,2364,,,,1047,1047,1047.0,INHMNHHN_02282,,,,
group_1597,,hypothetical protein,1,1,1.0,1,2363,,,,1050,1050,1050.0,,,,DBBBBKPJ_03807,
rppA,rppA,1368-tetrahydroxynaphthalene synthase,1,1,1.0,1,2362,,,,1050,1050,1050.0,INHMNHHN_05405,,,,
group_1596,,ABC transporter,1,1,1.0,1,2357,,,,1053,1053,1053.0,,,,,GCDEOBMB_04318
group_1591,,hypothetical protein,1,1,1.0,1,2345,,,,1056,1056,1056.0,INHMNHHN_01239,,,,
group_1590,,ABC transporter permease,1,1,1.0,1,2344,,,,1059,1059,1059.0,,,,,GCDEOBMB_04308
group_1585,,hypothetical protein,1,1,1.0,1,2334,,,,1065,1065,1065.0,,,,,GCDEOBMB_03435
yhcG,yhcG,Putative nuclease YhcG,1,1,1.0,1,2333,,,,1065,1065,1065.0,,,PDFLHPBO_03562,,
thrB_1,thrB_1,Homoserine kinase,1,1,1.0,1,2327,,,,1068,1068,1068.0,,,,,GCDEOBMB_04311
dgcP,dgcP,Diguanylate cyclase DgcP,1,1,1.0,1,2326,,,,1068,1068,1068.0,,,,DBBBBKPJ_05358,
cysH_1,cysH_1,Phosphoadenosine phosphosulfate reductase,1,1,1.0,1,2325,,,,1068,1068,1068.0,,,,DBBBBKPJ_03806,
group_1580,,hypothetical protein,1,1,1.0,1,2319,,,,1071,1071,1071.0,,,PDFLHPBO_03529,,
acr3_1,acr3_1,Arsenical-resistance protein Acr3,1,1,1.0,1,2317,,,,1071,1071,1071.0,INHMNHHN_05081,,,,
group_1569,,secretion protein,1,1,1.0,1,2298,,,,1080,1080,1080.0,,,,DBBBBKPJ_02022,
group_1568,,hypothetical protein,1,1,1.0,1,2297,,,,1080,1080,1080.0,,FNCGEDBI_05729,,,
lspA_2,lspA_2,Lipoprotein signal peptidase,1,1,1.0,1,2296,,,,1080,1080,1080.0,,FNCGEDBI_03441,,,
acr3,acr3,Arsenical-resistance protein Acr3,1,1,1.0,1,2285,,,,1086,1086,1086.0,,FNCGEDBI_04841,,,
pcoB_2,pcoB_2,copper resistance protein B,1,1,1.0,1,2277,,,,1092,1092,1092.0,,FNCGEDBI_05715,,,
stiP,stiP,Cysteine protease StiP,1,1,1.0,1,2270,,,,1095,1095,1095.0,,,,DBBBBKPJ_03921,
group_1552,,hypothetical protein,1,1,1.0,1,2258,,,,1098,1098,1098.0,,,,DBBBBKPJ_02412,
COQ3_2,COQ3_2,Ubiquinone biosynthesis O-methyltransferase mitochondrial,1,1,1.0,1,2229,,,,1104,1104,1104.0,,FNCGEDBI_01102,,,
group_1514,,hypothetical protein,1,1,1.0,1,2215,,,,1107,1107,1107.0,,,,DBBBBKPJ_03916,
ftsH_5,ftsH_5,ATP-dependent zinc metalloprotease FtsH,1,1,1.0,1,2200,,,,1110,1110,1110.0,,FNCGEDBI_05096,,,
group_1496,,hypothetical protein,1,1,1.0,1,2193,,,,1110,1110,1110.0,,FNCGEDBI_01236,,,
group_1468,,hypothetical protein,1,1,1.0,1,2159,,,,1116,1116,1116.0,INHMNHHN_00700,,,,
group_1464,,ABC transporter permease,1,1,1.0,1,2155,,,,1119,1119,1119.0,,,PDFLHPBO_03542,,
group_1462,,ABC transporter ATP-binding protein/permease,1,1,1.0,1,2153,,,,1119,1119,1119.0,INHMNHHN_05390,,,,
group_1458,,hypothetical protein,1,1,1.0,1,2146,,,,1122,1122,1122.0,,,PDFLHPBO_00649,,
group_1449,,hypothetical protein,1,1,1.0,1,2136,,,,1125,1125,1125.0,,,,,GCDEOBMB_03491
group_1448,,hypothetical protein,1,1,1.0,1,2135,,,,1125,1125,1125.0,,,,DBBBBKPJ_05388,
group_1447,,hypothetical protein,1,1,1.0,1,2134,,,,1125,1125,1125.0,,,PDFLHPBO_00633,,
group_1433,,hypothetical protein,1,1,1.0,1,2118,,,,1128,1128,1128.0,,,,DBBBBKPJ_03919,
group_1432,,hypothetical protein,1,1,1.0,1,2117,,,,1128,1128,1128.0,,,,DBBBBKPJ_05364,
speC_2,speC_2,ornithine decarboxylase,1,1,1.0,1,2116,,,,1128,1128,1128.0,,,,DBBBBKPJ_05360,
group_1431,,hypothetical protein,1,1,1.0,1,2115,,,,1128,1128,1128.0,,,,DBBBBKPJ_03484,
group_1420,,ABC transporter ATP-binding protein/permease,1,1,1.0,1,2102,,,,1131,1131,1131.0,,,,DBBBBKPJ_05382,
liuA_2,liuA_2,isovaleryl-CoA dehydrogenase,1,1,1.0,1,2094,,,,1134,1134,1134.0,INHMNHHN_05397,,,,
group_1413,,ABC transporter ATP-binding protein/permease,1,1,1.0,1,2093,,,,1134,1134,1134.0,INHMNHHN_05391,,,,
group_1404,xerC_4,Tyrosine recombinase XerC,1,1,1.0,1,2077,,,,1140,1140,1140.0,,,,DBBBBKPJ_03913,
group_1403,,hypothetical protein,1,1,1.0,1,2076,,,,1140,1140,1140.0,,,,DBBBBKPJ_03918,
group_1389,,hypothetical protein,1,1,1.0,1,2060,,,,1143,1143,1143.0,,,,DBBBBKPJ_03314,
group_1387,,hypothetical protein,1,1,1.0,1,2057,,,,1143,1143,1143.0,,,,DBBBBKPJ_01978,
group_1385,,hypothetical protein,1,1,1.0,1,2055,,,,1143,1143,1143.0,,,PDFLHPBO_00897,,
recF_2,recF_2,DNA replication and repair protein RecF,1,1,1.0,1,2054,,,,1143,1143,1143.0,,FNCGEDBI_03468,,,
casC,casC,CRISPR system Cascade subunit CasC,1,1,1.0,1,2053,,,,1143,1143,1143.0,,FNCGEDBI_00942,,,
group_1382,,IS200/IS605 family transposase ISPa18,1,1,1.0,1,2047,,,,1146,1146,1146.0,,,,DBBBBKPJ_01966,
group_1363,,hypothetical protein,1,1,1.0,1,2027,,,,1149,1149,1149.0,,,,DBBBBKPJ_02020,
group_1360,,hypothetical protein,1,1,1.0,1,2024,,,,1149,1149,1149.0,,FNCGEDBI_03777,,,
group_1331,,hypothetical protein,1,1,1.0,1,1991,,,,1155,1155,1155.0,,,,DBBBBKPJ_03802,
group_1314,,hypothetical protein,1,1,1.0,1,1969,,,,1161,1161,1161.0,,,,,GCDEOBMB_00514
group_1313,,ABC transporter ATP-binding protein/permease,1,1,1.0,1,1968,,,,1161,1161,1161.0,,,,DBBBBKPJ_05383,
group_1291,,hypothetical protein,1,1,1.0,1,1943,,,,1164,1164,1164.0,INHMNHHN_00698,,,,
group_1288,,resistance-nodulation-cell division (RND) efflux membrane fusion protein,1,1,1.0,1,1940,,,,1167,1167,1167.0,,,PDFLHPBO_03539,,
group_1285,,alcohol dehydrogenase,1,1,1.0,1,1936,,,,1167,1167,1167.0,,FNCGEDBI_01472,,,
group_1280,,hypothetical protein,1,1,1.0,1,1929,,,,1170,1170,1170.0,,,,,GCDEOBMB_04307
group_1253,,hypothetical protein,1,1,1.0,1,1890,,,,1182,1182,1182.0,,,,DBBBBKPJ_03925,
group_1220,,hypothetical protein,1,1,1.0,1,1842,,,,1194,1194,1194.0,,,,DBBBBKPJ_03931,
desA_1,desA_1,delta-9 fatty acid desaturase DesA,1,1,1.0,1,1837,,,,1194,1194,1194.0,INHMNHHN_03749,,,,
group_1204,,hypothetical protein,1,1,1.0,1,1817,,,,1200,1200,1200.0,,,PDFLHPBO_03563,,
recB_2,recB_2,RecBCD enzyme subunit RecB,1,1,1.0,1,1816,,,,1200,1200,1200.0,,FNCGEDBI_05707,,,
group_1192,,hypothetical protein,1,1,1.0,1,1801,,,,1203,1203,1203.0,,,,,GCDEOBMB_00498
group_1182,,hypothetical protein,1,1,1.0,1,1783,,,,1209,1209,1209.0,,,,DBBBBKPJ_05363,
group_1176,,multidrug resistance protein,1,1,1.0,1,1774,,,,1209,1209,1209.0,,,,DBBBBKPJ_02028,
group_1175,,hypothetical protein,1,1,1.0,1,1772,,,,1209,1209,1209.0,,FNCGEDBI_01220,,,
RBKS,RBKS,Ribokinase,1,1,1.0,1,1757,,,,1212,1212,1212.0,,,,DBBBBKPJ_05352,
xerC_3,xerC_3,Tyrosine recombinase XerC,1,1,1.0,1,1739,,,,1215,1215,1215.0,,,,DBBBBKPJ_03496,
group_1151,,hypothetical protein,1,1,1.0,1,1728,,,,1218,1218,1218.0,,,,,GCDEOBMB_04270
group_1147,,hypothetical protein,1,1,1.0,1,1724,,,,1218,1218,1218.0,,FNCGEDBI_06368,,,
group_1134,,hypothetical protein,1,1,1.0,1,1708,,,,1224,1224,1224.0,,,PDFLHPBO_00640,,
group_1133,,IS200/IS605 family transposase ISAba30,1,1,1.0,1,1706,,,,1224,1224,1224.0,,,,DBBBBKPJ_04409,
group_1124,,hypothetical protein,1,1,1.0,1,1695,,,,1227,1227,1227.0,,,,,GCDEOBMB_00497
group_1117,,transporter,1,1,1.0,1,1685,,,,1230,1230,1230.0,,FNCGEDBI_04838,,,
sbcD_2,sbcD_2,exonuclease SbcD,1,1,1.0,1,1683,,,,1230,1230,1230.0,,FNCGEDBI_03476,,,
group_1108,,L-lactate transporter,1,1,1.0,1,1673,,,,1233,1233,1233.0,INHMNHHN_05082,,,,
czcB_1,czcB_1,resistance-nodulation-cell division (RND) divalent metal cation efflux membrane fusion protein CzcB,1,1,1.0,1,1661,,,,1236,1236,1236.0,,FNCGEDBI_01209,,,
group_1078,,hypothetical protein,1,1,1.0,1,1631,,,,1248,1248,1248.0,,,,DBBBBKPJ_03917,
czcC_1,czcC_1,outer membrane protein CzcC,1,1,1.0,1,1629,,,,1248,1248,1248.0,,FNCGEDBI_01210,,,
group_1061,,hypothetical protein,1,1,1.0,1,1602,,,,1254,1254,1254.0,,,PDFLHPBO_00469,,
group_1047,,hypothetical protein,1,1,1.0,1,1577,,,,1263,1263,1263.0,,FNCGEDBI_05723,,,
group_1044,,hypothetical protein,1,1,1.0,1,1574,,,,1263,1263,1263.0,INHMNHHN_00699,,,,
intA_1,intA_1,Prophage integrase IntA,1,1,1.0,1,1562,,,,1269,1269,1269.0,,FNCGEDBI_01273,,,
group_1034,,hypothetical protein,1,1,1.0,1,1553,,,,1272,1272,1272.0,,,,DBBBBKPJ_03488,
group_1030,,hypothetical protein,1,1,1.0,1,1546,,,,1275,1275,1275.0,,FNCGEDBI_01105,,,
paeR7IM,paeR7IM,Modification methylase PaeR7I,1,1,1.0,1,1539,,,,1278,1278,1278.0,,,PDFLHPBO_00638,,
group_1015,,hypothetical protein,1,1,1.0,1,1524,,,,1281,1281,1281.0,,,PDFLHPBO_03520,,
group_989,xerC_2,Tyrosine recombinase XerC,1,1,1.0,1,1480,,,,1293,1293,1293.0,,,PDFLHPBO_03615,,
group_986,,hypothetical protein,1,1,1.0,1,1472,,,,1296,1296,1296.0,,FNCGEDBI_03478,,,
group_979,,hypothetical protein,1,1,1.0,1,1465,,,,1296,1296,1296.0,INHMNHHN_01069,,,,
group_975,,hypothetical protein,1,1,1.0,1,1456,,,,1299,1299,1299.0,INHMNHHN_03767,,,,
xerC_1,xerC_1,Tyrosine recombinase XerC,1,1,1.0,1,1449,,,,1302,1302,1302.0,,,PDFLHPBO_00456,,
flgL,flgL,flagellar hook-associated protein FlgL,1,1,1.0,1,1399,,,,1320,1320,1320.0,,,PDFLHPBO_02783,,
group_933,,5-aminovalerate aminotransferase DavT,1,1,1.0,1,1393,,,,1323,1323,1323.0,,,,,GCDEOBMB_04310
group_914,,hypothetical protein,1,1,1.0,1,1368,,,,1329,1329,1329.0,,FNCGEDBI_01204,,,
group_907,,hypothetical protein,1,1,1.0,1,1358,,,,1332,1332,1332.0,,,,,GCDEOBMB_03428
group_906,,hypothetical protein,1,1,1.0,1,1357,,,,1332,1332,1332.0,,,,DBBBBKPJ_03930,
group_892,,hypothetical protein,1,1,1.0,1,1334,,,,1335,1335,1335.0,INHMNHHN_03768,,,,
xerC_2,xerC_2,Tyrosine recombinase XerC,1,1,1.0,1,1290,,,,1350,1350,1350.0,,,,,GCDEOBMB_02856
ctcP_2,ctcP_2,Tetracycline 7-halogenase,1,1,1.0,1,1285,,,,1350,1350,1350.0,INHMNHHN_05401,,,,
aprD_2,aprD_2,alkaline protease secretion ATP-binding protein AprD,1,1,1.0,1,1269,,,,1356,1356,1356.0,,FNCGEDBI_00935,,,
group_847,,hypothetical protein,1,1,1.0,1,1253,,,,1362,1362,1362.0,,FNCGEDBI_03470,,,
group_839,,hypothetical protein,1,1,1.0,1,1242,,,,1365,1365,1365.0,,,,DBBBBKPJ_04766,
group_838,,Tn3 family transposase TnAs1,1,1,1.0,1,1240,,,,1365,1365,1365.0,,,PDFLHPBO_00660,,
group_834,,hypothetical protein,1,1,1.0,1,1233,,,,1368,1368,1368.0,,,PDFLHPBO_03523,,
copS_3,copS_3,two-component sensor CopS,1,1,1.0,1,1211,,,,1377,1377,1377.0,,FNCGEDBI_05699,,,
group_776,oprM_4,outer membrane protein OprM,1,1,1.0,1,1147,,,,1404,1404,1404.0,,,PDFLHPBO_03537,,
group_766,,hypothetical protein,1,1,1.0,1,1130,,,,1413,1413,1413.0,,FNCGEDBI_01262,,,
group_758,,molybdopterin biosynthesis protein MoeB,1,1,1.0,1,1121,,,,1419,1419,1419.0,,FNCGEDBI_01378,,,
group_757,,hypothetical protein,1,1,1.0,1,1120,,,,1419,1419,1419.0,,FNCGEDBI_01255,,,
group_753,,hypothetical protein,1,1,1.0,1,1115,,,,306,306,306.0,,,,DBBBBKPJ_03491,
group_751,fliD,B-type flagellar hook-associated protein,1,1,1.0,1,1111,,,,1425,1425,1425.0,,,PDFLHPBO_02775,,
group_750,,IS3 family transposase ISPa32,1,1,1.0,1,1110,,,,264,264,264.0,,,PDFLHPBO_02888,,
group_746,,transporter membrane subunit,1,1,1.0,1,1101,,,,1431,1431,1431.0,,FNCGEDBI_01346,,,
group_744,,hypothetical protein,1,1,1.0,1,1098,,,,321,321,321.0,INHMNHHN_04112,,,,
group_743,,transcriptional regulator,1,1,1.0,1,1097,,,,1434,1434,1434.0,,FNCGEDBI_01375,,,
